ESTADO/PROVÍNCIA;PAÍS/REGIÃO;PAIS/ESTADO;LAT;LON;1 º DIA;2 º DIA;3 º DIA;4 º DIA;5 º DIA;6 º DIA;7 º DIA;8 º DIA;9 º DIA;10 º DIA;11 º DIA;12 º DIA;13 º DIA;14 º DIA;15 º DIA;16 º DIA;17 º DIA;18 º DIA;19 º DIA;20 º DIA;21 º DIA;22 º DIA;23 º DIA;24 º DIA;25 º DIA;26 º DIA;27 º DIA;28 º DIA;29 º DIA;30 º DIA;31 º DIA;32 º DIA;33 º DIA;34 º DIA;35 º DIA;36 º DIA;37 º DIA;38 º DIA;39 º DIA;40 º DIA;41 º DIA;42 º DIA;43 º DIA;44 º DIA;45 º DIA;46 º DIA;47 º DIA;48 º DIA;49 º DIA;50 º DIA;51 º DIA;52 º DIA;53 º DIA;54 º DIA;55 º DIA;56 º DIA;57 º DIA;58 º DIA;59 º DIA;60 º DIA;61 º DIA;62 º DIA;63 º DIA;64 º DIA;65 º DIA;66 º DIA;67 º DIA;68 º DIA;69 º DIA
;Afghanistan;Afghanistan;33.0;65.0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;5;7;7;7;11;16;21;22;22;22;24;24;40;40;74;84;94;110;110;120;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Albania;Albania;411.533;201.683;2;10;12;23;33;38;42;51;55;59;64;70;76;89;104;123;146;174;186;197;212;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Algeria;Algeria;280.339;16.596;1;1;1;1;1;1;3;5;12;12;17;17;19;20;20;20;24;26;37;48;54;60;74;87;90;139;201;230;264;302;367;409;454;511;584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Andorra;Andorra;425.063;15.218;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;39;39;53;75;88;113;133;164;188;224;267;308;334;370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Angola;Angola;-112.027;178.739;1;2;2;3;3;3;4;4;5;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Antigua and Barbuda;Antigua and Barbuda;170.608;-617.964;1;1;1;1;1;1;1;1;1;1;3;3;3;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Argentina;Argentina;-384.161;-636.167;1;1;1;2;8;12;12;17;19;19;31;34;45;56;68;79;97;128;158;266;301;387;387;502;589;690;745;820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Armenia;Armenia;400.691;450.382;1;1;1;1;1;1;1;1;1;1;1;4;8;18;26;52;78;84;115;136;160;194;235;249;265;290;329;407;424;482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australian Capital Territory;Australia;Australia - Australian Capital Territory;-354.735;1.490.124;1;1;1;2;2;3;4;6;9;19;32;39;39;53;62;71;77;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New South Wales;Australia;Australia - New South Wales;-338.688;1.512.093;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;13;22;22;26;28;38;48;55;65;65;92;112;134;171;210;267;307;353;436;669;669;818;1029;1219;1405;1617;1791;2032;;;;
